date,item,model,units,rmse,smape,forecast_accuracy,bias,lower,upper
2022-04-04,Sugar,xrnn,19.546571731567383,0.17657173156738182,0.9074372366883218,99.08842678591955,0.00903338621177352,18.78730047097823,20.305842992156535
2022-04-11,Sugar,xrnn,19.43719482421875,0.9728051757812501,4.88267834196443,95.23368360714724,-0.05004864048433233,18.400522733747515,20.473866914689985
2022-04-18,Sugar,xrnn,18.994003295898438,1.0659967041015612,5.459090562495626,94.68595860368116,-0.05612280294443006,17.78150037836563,20.206506213431243
2022-04-25,Sugar,xrnn,19.365982055664062,0.12598205566406406,0.6526556194447626,99.34520761089364,0.006505327501696079,18.0433870204021,20.688577090926024
2022-05-02,Sugar,xrnn,19.885236740112305,0.5352367401123033,2.728347192895114,97.23391865575037,0.026916287047899612,18.48643110516302,21.28404237506159
2022-05-09,Sugar,xrnn,19.84095001220703,0.6809500122070311,3.491966282841308,96.44598114714493,0.034320433839512776,18.432338266686283,21.24956175772778
2022-05-16,Sugar,xrnn,19.574504852294922,0.40450485229492017,2.0880630883631515,97.88990687378758,0.020664882986682342,18.23221759690534,20.916792107684504
2022-05-23,Sugar,xrnn,19.89521026611328,0.05478973388671804,0.2750128987689868,99.72536474242246,-0.0027539157995248864,18.592659985660404,21.19776054656616
2022-05-30,Sugar,xrnn,19.40524673461914,0.2047532653808588,1.0496064104045584,98.95587320050556,-0.01055143839091599,18.073637148314326,20.736856320923955
2022-06-06,Sugar,xrnn,19.316150665283203,0.026150665283203978,0.1354740881054485,99.86443408355001,0.00135382384080307,17.932338882519037,20.69996244804737
2022-06-13,Sugar,xrnn,20.519453048706055,1.6494530487060537,8.375100038411109,91.25886036721752,0.08038484480024033,19.0758680860108,21.96303801140131
2022-06-20,Sugar,xrnn,19.78791046142578,1.1879104614257798,6.188982141236656,93.61338461599044,0.06003213243467376,18.300884362333882,21.27493656051768
2022-06-27,Sugar,xrnn,19.479602813720703,1.1096028137207021,5.8632203840113455,93.95970161284322,0.05696229149698784,17.953608684445072,21.005596942996334
2022-07-04,Sugar,xrnn,19.471302032470703,1.4013020324707028,7.465388553964755,92.24514647221525,0.0719675566705229,17.91403021339774,21.028573851543666
2022-07-11,Sugar,xrnn,19.807661056518555,0.7876610565185551,4.057216093300162,95.8587746765586,0.03976547530125174,18.250562658972143,21.364759454064966
2022-07-18,Sugar,xrnn,19.596416473388672,0.3464164733886719,1.7835183002065627,98.20043390447442,0.0176775419046179,17.992822715059837,21.200010231717506
2022-07-25,Sugar,xrnn,19.050432205200195,1.1604322052001947,6.2827213214729944,93.51351478367694,0.06091369438240002,17.394313328861458,20.706551081538933
2022-08-01,Sugar,xrnn,20.035051345825195,2.495051345825196,13.280361604096175,85.77507784592248,0.1245343125284829,18.371498783328132,21.69860390832226
2022-08-08,Sugar,xrnn,19.87950325012207,1.939503250122069,10.256629957802573,89.18894509407988,0.09756296350665394,18.185633022546295,21.573373477697846
2022-08-15,Sugar,xrnn,19.58782386779785,0.9878238677978501,5.173501748712314,94.68911899033414,0.05043050593393483,17.82739774367713,21.348249991918575
2022-08-22,Sugar,xrnn,19.94204330444336,1.8820433044433607,9.904958474816032,89.57894072844208,0.09437565026368266,18.151027096162636,21.733059512724083
2022-08-29,Sugar,xrnn,20.3326358795166,1.8726358795166007,9.654594677880063,89.85571029514301,0.09210000565657706,18.50468232289384,22.160589436139364
2022-09-05,Sugar,xrnn,19.627071380615234,1.4870713806152338,7.874962639430418,91.80225258756762,0.075766340875692,17.77367137506717,21.4804713861633
2022-09-12,Sugar,xrnn,19.45410919189453,1.2241091918945308,6.496686365391511,93.28519368132457,0.06292291154634577,17.612320938712624,21.295897445076438
2022-09-19,Sugar,xrnn,20.39451026916504,2.4645102691650393,12.861274687431159,86.25482281558818,0.12084184599868486,18.5201373354508,22.268883202879277
2022-09-26,Sugar,xrnn,20.348587036132812,2.078587036132813,10.764697497544482,88.62294999379961,0.10214896161791887,18.452018852386423,22.2451552198792
2022-10-03,Sugar,xrnn,20.47526741027832,2.8052674102783186,14.708337892120444,84.12412331478032,0.13700760796267353,18.539091784244224,22.411443036312416
2022-10-10,Sugar,xrnn,21.03977394104004,2.329773941040038,11.722199701038504,87.54797466039531,0.11073189035057063,19.0380582482967,23.041489633783378
2022-10-17,Sugar,xrnn,21.037738800048828,2.2277388000488294,11.181255785816884,88.15662519910245,0.10589250209930634,19.00619276026476,23.069284839832896
2022-10-24,Sugar,xrnn,20.787994384765625,2.407994384765626,12.295724724175383,86.89883359757549,0.11583582043539098,18.71264484925728,22.86334392027397
2022-10-31,Sugar,xrnn,20.08011817932129,2.460118179321288,13.05098391267471,86.03792179726851,0.12251512453023028,17.95172415282335,22.20851220581923
2022-11-07,Sugar,xrnn,20.423357009887695,1.7433570098876956,8.916661602464819,90.66725369439135,0.08536094281873796,18.24654981036217,22.600164209413222
2022-11-14,Sugar,xrnn,20.562944412231445,0.9529444122314459,4.74420994614128,95.14051804063516,0.046342799607268614,18.35436023889957,22.77152858556332
2022-11-21,Sugar,xrnn,21.02849006652832,0.95849006652832,4.6643565979030415,95.22426474076572,0.04558054636809028,18.80580155021236,23.25117858284428
2022-11-28,Sugar,xrnn,20.074737548828125,0.7647375488281263,3.8834208194482724,96.03968125930541,0.03809452287822157,17.87559187511625,22.27388322254
2022-12-05,Sugar,xrnn,20.582439422607422,1.0924394226074234,5.452323034724503,94.39487212618049,0.05307628508832174,18.406648368772416,22.758230476442428
2022-12-12,Sugar,xrnn,20.30234718322754,0.6923471832275396,3.469338348101393,96.4694177295893,0.034101829555920116,18.100487102847286,22.504207263607793
2022-12-19,Sugar,xrnn,20.394821166992188,0.2748211669921865,1.3566450946898707,98.63408962727542,0.01347504666709054,18.170045437976714,22.61959689600766
2022-12-26,Sugar,xrnn,20.83678436279297,0.14321563720703168,0.6849672416918774,99.31737065201605,-0.006873212042389998,18.578712631052564,23.094856094533373
2023-01-02,Sugar,xrnn,20.829444885253906,0.7794448852539055,3.813382923578143,96.11249433788575,0.037420338830331024,18.56205255192684,23.096837218580973
2023-01-09,Sugar,xrnn,20.902833938598633,1.942833938598632,9.747595675667267,89.75298555591439,0.0929459586343957,18.61944176713227,23.186226110064997
2023-01-16,Sugar,xrnn,20.45199203491211,0.7319920349121105,3.6442904512973175,96.28807284527328,0.03579074515883729,18.15718039349959,22.746803676324628
2023-01-23,Sugar,xrnn,20.566261291503906,0.866261291503907,4.3026656248648845,95.60273456089388,0.042120504024801386,18.253405967954038,22.879116615053775
2023-01-30,Sugar,xrnn,20.936044692993164,0.08395530700683551,0.400206013799277,99.60059321119489,-0.00401008443753148,18.605481871761334,23.266607514224994
2023-02-06,Sugar,xrnn,21.246410369873047,0.053589630126953836,0.25191140526816547,99.74840549236171,-0.0025222910220610295,18.911257879701036,23.581562860045057
2023-02-13,Sugar,xrnn,20.668420791625977,0.8615792083740246,4.083466595247563,95.99823869775186,-0.04168577836982612,18.31718853451708,23.019653048734874
2023-02-20,Sugar,xrnn,20.239837646484375,1.1601623535156236,5.5723673246049525,94.5786805910485,-0.057320734176795174,17.914399537382767,22.565275755585983
2023-02-27,Sugar,xrnn,19.8101863861084,1.5098136138916018,7.341632735228922,92.91832263653095,-0.07621400346593088,17.495351822542727,22.12502094967407
2023-03-06,Sugar,xrnn,19.579721450805664,1.330278549194336,6.570944434925799,93.63807484842498,-0.06794164832920013,17.197762090996456,21.961680810614872
2023-03-13,Sugar,xrnn,19.02912712097168,2.1308728790283205,10.604225728089418,89.92971229192665,-0.11197953881341838,16.611333702588617,21.446920539354743
2023-03-20,Sugar,xrnn,18.77699851989746,1.9030014801025388,9.645951549725147,90.79786518325659,-0.10134747990132609,16.35342108905752,21.200575950737402
2023-03-27,Sugar,xrnn,19.09071159362793,1.7492884063720702,8.761618997299403,91.60610169687106,-0.09163034063936859,16.637879691298128,21.54354349595773
